Power_Bias X,Power_Bias Y
9.199999999999958e-08,0.00018
9.212499999999958e-08,0.00018
9.224999999999957e-08,0.00018
9.237499999999957e-08,0.00018
9.249999999999956e-08,0.00018
9.262499999999956e-08,0.00018
9.274999999999956e-08,0.00018
9.287499999999955e-08,0.00018
9.299999999999955e-08,0.00018
9.312499999999955e-08,0.00018
9.324999999999954e-08,0.00018
9.337499999999954e-08,0.00018
9.349999999999953e-08,0.00018
9.362499999999953e-08,0.00018
9.374999999999953e-08,0.00018
9.387499999999954e-08,0.00018
9.399999999999952e-08,0.00018
9.412499999999951e-08,0.00018
9.424999999999951e-08,0.00018
9.437499999999951e-08,0.00018
9.44999999999995e-08,0.00018
9.46249999999995e-08,0.00018
9.47499999999995e-08,0.00018
9.487499999999949e-08,0.00018
9.499999999999949e-08,0.00018
9.512499999999948e-08,0.00018
9.524999999999948e-08,0.00018
9.537499999999948e-08,0.00018
9.549999999999947e-08,0.00018
9.562499999999947e-08,0.00018
9.574999999999946e-08,0.00018
9.587499999999947e-08,0.00018
9.599999999999946e-08,0.00018
9.612499999999945e-08,0.00018
9.624999999999945e-08,0.00018
9.637499999999945e-08,0.00018
9.649999999999944e-08,0.00018
9.662499999999944e-08,0.00018
9.674999999999943e-08,0.00018
9.687499999999943e-08,0.00018
9.699999999999943e-08,0.00018
9.712499999999942e-08,0.00018
9.724999999999942e-08,0.00018
9.737499999999941e-08,0.00018
9.749999999999941e-08,0.00018
9.762499999999941e-08,0.00018
9.77499999999994e-08,0.00018
9.787499999999941e-08,0.00018
9.79999999999994e-08,0.00018
9.812499999999939e-08,0.00018
9.824999999999939e-08,0.00018
9.837499999999938e-08,0.00018
9.849999999999938e-08,0.00018
9.862499999999938e-08,0.00018
9.874999999999937e-08,0.00018
9.887499999999937e-08,0.00018
9.899999999999936e-08,0.00018
9.912499999999936e-08,0.00018
9.924999999999936e-08,0.00018
9.937499999999935e-08,0.00018
9.949999999999935e-08,0.00018
9.962499999999935e-08,0.00018
9.974999999999934e-08,0.00018
9.987499999999935e-08,0.00018
9.999999999999933e-08,0.00018
1.001249999999993e-07,0.00018
1.002499999999993e-07,0.00018
1.003749999999993e-07,0.00018
1.004999999999993e-07,0.00018
1.006249999999993e-07,0.00018
1.007499999999993e-07,0.00018
1.008749999999993e-07,0.00018
1.009999999999993e-07,0.00018
1.011249999999993e-07,0.00018
1.012499999999993e-07,0.00018
1.013749999999993e-07,0.00018
1.014999999999993e-07,0.00018
1.016249999999993e-07,0.00018
1.017499999999993e-07,0.00018
1.018749999999993e-07,0.00018
1.019999999999993e-07,0.00018
1.021249999999993e-07,0.00018
1.022499999999993e-07,0.00018
1.023749999999993e-07,0.00018
1.024999999999993e-07,0.00018
1.026249999999993e-07,0.00018
1.027499999999992e-07,0.00018
1.028749999999992e-07,0.00018
1.029999999999992e-07,0.00018
1.031249999999992e-07,0.00018
1.032499999999992e-07,0.00018
1.033749999999992e-07,0.00018
1.034999999999992e-07,0.00018
1.036249999999992e-07,0.00018
1.037499999999992e-07,0.00018
1.038749999999992e-07,0.00018
1.039999999999992e-07,0.00018
1.041249999999992e-07,0.00018
1.042499999999992e-07,0.00018
1.043749999999992e-07,0.00018
1.044999999999992e-07,0.00018
1.046249999999992e-07,0.00018
1.047499999999992e-07,0.00018
1.048749999999992e-07,0.00018
1.049999999999992e-07,0.00018
1.051249999999992e-07,0.00018
1.052499999999992e-07,0.00018
1.053749999999992e-07,0.00018
1.054999999999992e-07,0.00018
1.056249999999992e-07,0.00018
1.057499999999992e-07,0.00018
1.058749999999992e-07,0.00018
1.059999999999991e-07,0.00018
1.061249999999991e-07,0.00018
1.062499999999991e-07,0.00018
1.063749999999991e-07,0.00018
1.064999999999991e-07,0.00018
1.066249999999991e-07,0.00018
